,instance,train_label_size,train_not_behavior,train_behavior,seed,feature_file,filter_set,window_set,feature_set,feature_count,video_list,num_videos_used,variable,value,plot_group,color_var
0,0,1339756,828011,511745,12648430,/projects/kumar-lab/bgeuther/cvpr_2024/scaling_results_2023-10-31_2023-10-31_10-59-10_feature_importances.csv,All Keypoints,JABS Window,All Keypoints JABS Window,558,train_splits_2023-10-31_2023-10-31_11-26-52.csv,647,Precision,0.9129055727680724,Windows,All Keypoints JABS Window
1,0,1106189,671612,434577,12648430,/projects/kumar-lab/bgeuther/cvpr_2024/scaling_results_2023-10-31_2023-10-31_10-59-10_feature_importances.csv,All Keypoints,JABS Window,All Keypoints JABS Window,558,train_splits_2023-10-31_2023-10-31_11-49-42.csv,541,Precision,0.904639406051824,Windows,All Keypoints JABS Window
2,0,1002913,606609,396304,12648430,/projects/kumar-lab/bgeuther/cvpr_2024/scaling_results_2023-10-31_2023-10-31_10-59-10_feature_importances.csv,All Keypoints,JABS Window,All Keypoints JABS Window,558,train_splits_2023-10-31_2023-10-31_12-10-34.csv,507,Precision,0.8857365623906056,Windows,All Keypoints JABS Window
3,0,455417,278441,176976,12648430,/projects/kumar-lab/bgeuther/cvpr_2024/scaling_results_2023-10-31_2023-10-31_10-59-10_feature_importances.csv,All Keypoints,JABS Window,All Keypoints JABS Window,558,train_splits_2023-10-31_2023-10-31_12-19-34.csv,207,Precision,0.8581839653792664,Windows,All Keypoints JABS Window
4,0,2017842,1215761,802081,12648430,/projects/kumar-lab/bgeuther/cvpr_2024/scaling_results_2023-10-31_2023-10-31_10-59-10_feature_importances.csv,All Keypoints,JABS Window,All Keypoints JABS Window,558,train_splits_2023-10-31_2023-10-31_13-05-30.csv,1024,Precision,0.9029501558377374,Windows,All Keypoints JABS Window
5,0,474572,272260,202312,12648430,/projects/kumar-lab/bgeuther/cvpr_2024/scaling_results_2023-10-31_2023-10-31_10-59-10_feature_importances.csv,All Keypoints,JABS Window,All Keypoints JABS Window,558,train_splits_2023-10-31_2023-10-31_13-15-08.csv,253,Precision,0.8913484298882705,Windows,All Keypoints JABS Window
6,0,2007325,1218623,788702,12648430,/projects/kumar-lab/bgeuther/cvpr_2024/scaling_results_2023-10-31_2023-10-31_10-59-10_feature_importances.csv,All Keypoints,JABS Window,All Keypoints JABS Window,558,train_splits_2023-10-31_2023-10-31_14-00-28.csv,1000,Precision,0.908749557778278,Windows,All Keypoints JABS Window
7,0,1009270,611372,397898,12648430,/projects/kumar-lab/bgeuther/cvpr_2024/scaling_results_2023-10-31_2023-10-31_10-59-10_feature_importances.csv,All Keypoints,JABS Window,All Keypoints JABS Window,558,train_splits_2023-10-31_2023-10-31_14-20-27.csv,499,Precision,0.9063863870408814,Windows,All Keypoints JABS Window
8,0,1247105,739942,507163,12648430,/projects/kumar-lab/bgeuther/cvpr_2024/scaling_results_2023-10-31_2023-10-31_10-59-10_feature_importances.csv,All Keypoints,JABS Window,All Keypoints JABS Window,558,train_splits_2023-10-31_2023-10-31_14-46-27.csv,623,Precision,0.9001359355277211,Windows,All Keypoints JABS Window
9,0,1916654,1154461,762193,12648430,/projects/kumar-lab/bgeuther/cvpr_2024/scaling_results_2023-10-31_2023-10-31_10-59-10_feature_importances.csv,All Keypoints,JABS Window,All Keypoints JABS Window,558,train_splits_2023-10-31_2023-10-31_15-28-47.csv,974,Precision,0.907714491708724,Windows,All Keypoints JABS Window
10,0,140138,74871,65267,12648430,/projects/kumar-lab/bgeuther/cvpr_2024/scaling_results_2023-10-31_2023-10-31_10-59-10_feature_importances.csv,All Keypoints,JABS Window,All Keypoints JABS Window,558,train_splits_2023-10-31_2023-10-31_15-31-40.csv,75,Precision,0.8344644460931704,Windows,All Keypoints JABS Window
11,0,866160,549108,317052,12648430,/projects/kumar-lab/bgeuther/cvpr_2024/scaling_results_2023-10-31_2023-10-31_10-59-10_feature_importances.csv,All Keypoints,JABS Window,All Keypoints JABS Window,558,train_splits_2023-10-31_2023-10-31_15-48-40.csv,422,Precision,0.9103243023052816,Windows,All Keypoints JABS Window
